Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2790045,420937,434447,2,09-Jul-15,10,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,31,Car
2790202,420319,434220,2,09-Jul-15,650,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,39,Car
2790214,430469,433461,2,09-Jul-15,720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,43,Pedal cycle
2790234,435148,425912,3,09-Jul-15,757,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
2790234,435148,425912,3,09-Jul-15,757,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Car
2790234,435148,425912,3,09-Jul-15,757,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Car
2790252,432217,426323,1,09-Jul-15,815,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,11,Car
2790324,428959,429802,1,09-Jul-15,910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,30,Taxi/Private hire car
2790508,428792,435576,2,09-Jul-15,1115,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,22,Pedal cycle
2790575,424924,434464,2,09-Jul-15,1204,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
2790575,424924,434464,2,09-Jul-15,1204,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,2,Car
2790984,424353,434764,1,09-Jul-15,1605,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,39,Car
2791086,430489,437179,2,09-Jul-15,1648,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Car
2791139,428150,435641,2,09-Jul-15,1711,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
2791287,424471,437775,2,09-Jul-15,1815,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
2791712,430380,428424,1,09-Jul-15,2144,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,10,Car
2791877,434993,425884,1,09-Jul-15,2331,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,21,Car
2791886,417908,443283,2,09-Jul-15,1640,A,Dry,Daylight: street lights present,Unknown,Driver/Rider,Slight,Male,37,Pedal cycle
27A0275,433100,436445,2,10-Jul-15,749,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,90,Car
27A0356,431920,434398,2,10-Jul-15,857,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Pedal cycle
27A0989,434207,436563,1,10-Jul-15,1310,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,82,Bus or coach (17 or more passenger seats)
27A1308,434969,436415,1,10-Jul-15,1700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
27A1349,425011,436080,2,10-Jul-15,1820,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
27A1402,435786,436743,1,10-Jul-15,1844,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,16,Car
27A1570,429464,433847,1,10-Jul-15,1955,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Car
27B0112,430267,433395,1,11-Jul-15,110,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,22,Taxi/Private hire car
27B0507,433057,435014,5,11-Jul-15,850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Car
27B0838,445223,447175,1,11-Jul-15,1305,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,55,Motorcycle over 500cc
27B1158,431521,435147,2,11-Jul-15,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
27B1158,431521,435147,2,11-Jul-15,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,28,Car
27B1173,432246,426279,2,11-Jul-15,1535,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
27B1936,425654,429532,1,11-Jul-15,2315,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Female,52,Car
27B1936,425654,429532,1,11-Jul-15,2315,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,28,Car
27B1936,425654,429532,1,11-Jul-15,2315,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,33,Car
27C1014,426812,431692,1,12-Jul-15,1454,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,47,Motorcycle over 50cc and up to 125cc
27C1065,422910,437538,2,12-Jul-15,1528,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,48,Car
27C1568,420646,436684,2,12-Jul-15,1940,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,58,Car
27C1603,420839,434417,2,12-Jul-15,2000,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,54,Car
27C1603,420839,434417,2,12-Jul-15,2000,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,19,Car
27D0677,422451,432854,2,13-Jul-15,1256,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,37,Car
27D0677,422451,432854,2,13-Jul-15,1256,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,31,Car
27D0738,432624,436859,1,13-Jul-15,1326,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,65,Car
27D0963,427184,434758,2,13-Jul-15,1515,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,22,Pedal cycle
27D1008,433009,433995,1,13-Jul-15,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,17,Car
27D1861,425594,434233,1,13-Jul-15,2359,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Fatal,Male,25,Car
27E0748,430434,435052,2,14-Jul-15,1313,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,37,Car
27E0970,424930,427641,2,14-Jul-15,1555,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
27E0970,424930,427641,2,14-Jul-15,1555,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,36,Car
27E1210,432246,439812,2,14-Jul-15,1810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,13,Pedal cycle
27E1351,428623,440712,2,14-Jul-15,1920,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,60,Pedal cycle
27F0296,434124,433893,2,15-Jul-15,745,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,1,Bus or coach (17 or more passenger seats)
27F0528,436320,428322,2,15-Jul-15,920,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,29,Car
27F0537,428289,432860,2,16-Jul-15,1029,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,31,Car
27F0849,424200,434492,2,13-Jul-15,846,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
27F1052,424347,438787,2,15-Jul-15,1520,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,63,Car
27F1334,428099,426293,2,15-Jul-15,1740,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,21,Motorcycle over 50cc and up to 125cc
27F1352,436020,443793,1,15-Jul-15,1750,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,79,Car
27F1470,429374,436046,2,15-Jul-15,1849,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
27G0245,422461,427899,2,16-Jul-15,700,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,64,Motorcycle over 500cc
27G0457,422322,433400,1,16-Jul-15,1000,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,80,Car
27G0615,422291,428606,1,18-Jul-15,1151,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,10,Car
27G0775,430351,425089,1,16-Jul-15,1306,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,41,Car
27G0965,426916,435445,2,15-Jul-15,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,23,Pedal cycle
27G1075,427292,433460,1,16-Jul-15,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,58,Motorcycle over 500cc
27G1202,422345,434594,2,29-Jul-15,715,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,47,Pedal cycle
27G1317,422300,433933,1,16-Jul-15,1732,A,Dry,Darkness: street lights present but unlit,Fine without high winds,Driver/Rider,Slight,Female,47,Motorcycle over 500cc
27G1419,427127,434793,2,16-Jul-15,1823,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
27G1994,427133,427915,2,16-Jul-15,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,10,Pedal cycle
27H0318,431244,434574,4,17-Jul-15,841,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,58,Car
27H0509,431062,428241,1,17-Jul-15,945,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,24,Car
27H0716,420851,439838,2,17-Jul-15,640,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,46,Car
27H1025,431214,433667,1,17-Jul-15,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,40,Bus or coach (17 or more passenger seats)
27H1249,422391,434767,1,17-Jul-15,1740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,7,Car
27H1744,430306,439336,1,17-Jul-15,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car
27I0202,431644,437780,1,18-Jul-15,200,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,21,Car
27I0646,427589,440838,2,18-Jul-15,1132,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Pedal cycle
27I1438,432245,435440,1,18-Jul-15,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,2,Car
27I1804,430952,433295,1,18-Jul-15,2300,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,37,Car
27J0612,422306,433316,1,19-Jul-15,910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,40,Car
27J0860,440810,433663,1,19-Jul-15,1248,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,49,Car
27J1015,436119,435559,2,19-Jul-15,1640,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,64,Motorcycle over 500cc
27J1050,432300,425980,1,19-Jul-15,1456,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Car
27J1439,430147,431774,1,19-Jul-15,1908,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,8,Car
27K0311,431505,435130,2,20-Jul-15,800,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,51,Car
27K0311,431505,435130,2,20-Jul-15,800,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
27K0401,432328,434754,2,20-Jul-15,909,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,43,Pedal cycle
27K0528,421084,435303,2,20-Jul-15,1042,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,69,Car
27K0579,424262,445380,2,20-Jul-15,1116,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,83,Car
27K0625,425017,428919,2,20-Jul-15,745,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
27K0724,426804,438039,2,20-Jul-15,1345,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
27K0878,430650,438919,2,20-Jul-15,1415,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,58,Pedal cycle
27K0916,430026,431772,1,20-Jul-15,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,69,Mobility Scooter
27K1130,421271,436328,1,20-Jul-15,1635,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,Car
27K1130,421271,436328,1,20-Jul-15,1635,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,17,Car
27K1130,421271,436328,1,20-Jul-15,1635,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,15,Car
27L0693,434680,434554,1,30-Jun-15,1055,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,79,Motorcycle over 125cc and up to 500cc
27L0738,430483,427501,2,21-Jul-15,1252,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,52,Bus or coach (17 or more passenger seats)
27L1198,427774,436226,2,21-Jul-15,1600,Unclassified,Dry,Daylight: street lights present,Unknown,Driver/Rider,Slight,Female,84,Car
27L1209,429518,430389,3,21-Jul-15,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,31,Car
27L1304,433191,433961,2,21-Jul-15,1930,Unclassified,Dry,Daylight: street lights present,Unknown,Driver/Rider,Slight,Male,31,Car
27L1304,433191,433961,2,21-Jul-15,1930,Unclassified,Dry,Daylight: street lights present,Unknown,Passenger,Slight,Female,30,Car
27M0694,431450,435825,4,22-Jul-15,1256,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,41,Car
27M1240,435034,435829,2,22-Jul-15,1740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Bus or coach (17 or more passenger seats)
27M1240,435034,435829,2,22-Jul-15,1740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,15,Bus or coach (17 or more passenger seats)
27M1240,435034,435829,2,22-Jul-15,1740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,44,Bus or coach (17 or more passenger seats)
27M1604,429147,431787,1,22-Jul-15,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,46,Bus or coach (17 or more passenger seats)
27N0621,443271,438960,2,23-Jul-15,1215,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,57,Pedal cycle
27N0777,420931,439497,2,23-Jul-15,1350,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
27N1484,440450,446823,2,23-Jul-15,1939,A(M),Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,66,Car
27N1788,428487,426413,4,23-Jul-15,2200,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,23,Car
27N1788,428487,426413,4,23-Jul-15,2200,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,50,Car
27O0249,428128,432798,1,24-Jul-15,730,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,22,Car
27O0273,435915,425861,2,24-Jul-15,830,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,30,Car
27O0273,435915,425861,2,24-Jul-15,830,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Car
27O0307,436181,434389,2,24-Jul-15,830,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,50,Car
27O0307,436181,434389,2,24-Jul-15,830,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car
27O0307,436181,434389,2,24-Jul-15,830,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,57,Car
27O0704,431553,439563,2,24-Jul-15,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Car
27O1253,431215,424833,2,24-Jul-15,1720,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Motorcycle over 500cc
27O1290,427945,436116,2,24-Jul-15,1737,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,40,Pedal cycle
27O1823,433427,434919,1,24-Jul-15,2155,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,49,Bus or coach (17 or more passenger seats)
27P1820,430065,433775,2,25-Jul-15,2322,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,38,Bus or coach (17 or more passenger seats)
27Q0787,432110,433583,1,26-Jul-15,1230,A,Dry,Daylight: street lights present,Other,Pedestrian,Slight,Male,6,Car
27R0471,426626,435088,2,27-Jul-15,900,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,35,Pedal cycle
27R0641,433804,434635,2,27-Jul-15,1250,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,74,Mobility Scooter
27R0928,434027,436677,1,27-Jul-15,1434,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,29,Car
27R1121,430523,431270,2,27-Jul-15,1721,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,41,Car
27S0699,431031,440331,3,28-Jul-15,1325,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,77,Car
27S1173,419577,446222,2,28-Jul-15,1727,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,46,Pedal cycle
27S1361,430901,436183,2,28-Jul-15,1932,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,44,Car
27S1361,430901,436183,2,28-Jul-15,1932,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
27S1433,420347,434208,2,28-Jul-15,1154,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,49,Car
27T0613,424141,437535,2,29-Jul-15,730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Pedal cycle
27T0647,439673,430309,2,29-Jul-15,1240,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
27T0647,439673,430309,2,29-Jul-15,1240,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,21,Car
27T0647,439673,430309,2,29-Jul-15,1240,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,57,Car
27T1138,430641,430781,2,29-Jul-15,1708,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Pedal cycle
27T1261,426963,439789,2,29-Jul-15,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,38,Pedal cycle
27T1284,431523,436212,2,29-Jul-15,1800,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,31,Car
27T1623,439290,426017,2,04-Jul-15,1930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,8,Pedal cycle
27U0211,421565,428479,2,30-Jul-15,634,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Pedal cycle
27U0228,431402,435029,2,30-Jul-15,700,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Car
27U0228,431402,435029,2,30-Jul-15,700,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
27U0329,433725,429723,3,30-Jul-15,915,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,56,Goods vehicle 7.5 tonnes mgw and over
27U0867,432732,435740,1,30-Jul-15,1500,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,23,Car
27U0904,431419,434088,2,30-Jul-15,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
27U0904,431419,434088,2,30-Jul-15,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Car
27U0988,429921,433321,2,30-Jul-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,42,Pedal cycle
27U1294,429379,430162,2,30-Jul-15,1400,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Car
27U1334,427452,431884,3,30-Jul-15,1830,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
27U1334,427452,431884,3,30-Jul-15,1830,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,44,Car
27U1601,434612,431472,2,30-Jul-15,2059,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,31,Pedal cycle
27V1148,424883,434415,2,31-Jul-15,1708,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,30,Car
27V1231,434648,437187,2,31-Jul-15,1750,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,6,Pedal cycle
27V1244,435832,436503,1,31-Jul-15,1755,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,10,Car
27V1378,420596,440653,2,31-Jul-15,1907,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,76,Car
27V1507,419144,442193,2,31-Jul-15,2015,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
27V1717,443636,436684,5,31-Jul-15,2200,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,22,Car
27V1717,443636,436684,5,31-Jul-15,2200,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,19,Car
27V1717,443636,436684,5,31-Jul-15,2200,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Bus or coach (17 or more passenger seats)
27V1717,443636,436684,5,31-Jul-15,2200,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,44,Bus or coach (17 or more passenger seats)
27V1717,443636,436684,5,31-Jul-15,2200,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,25,Bus or coach (17 or more passenger seats)
2810380,428880,440028,2,01-Aug-15,545,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,38,Taxi/Private hire car
2810380,428880,440028,2,01-Aug-15,545,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Taxi/Private hire car
2810380,428880,440028,2,01-Aug-15,545,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,33,Taxi/Private hire car
2810380,428880,440028,2,01-Aug-15,545,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,26,Taxi/Private hire car
2811197,433822,445036,2,01-Aug-15,1702,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
2811197,433822,445036,2,01-Aug-15,1702,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,55,Car
2811197,433822,445036,2,01-Aug-15,1702,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Car
2811294,440616,433553,2,01-Aug-15,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,64,Car
2811362,428534,434388,2,01-Aug-15,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,11,Pedal cycle
2811596,430684,445492,2,01-Aug-15,2100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
2820644,430749,434686,2,02-Aug-15,1130,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,29,Car
2820644,430749,434686,2,02-Aug-15,1130,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,52,Car
2820919,442987,431656,2,02-Aug-15,1430,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2821068,420894,434532,4,02-Aug-15,1647,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
2821477,420280,439453,3,02-Aug-15,2045,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,47,Goods vehicle 3.5 tonnes mgw and under
2830449,428395,437481,1,03-Aug-15,1037,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,77,Car
2830719,425061,440530,2,08-Mar-15,1230,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,57,Car
2831173,431884,435515,3,03-Aug-15,1705,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,16,Car
2831173,431884,435515,3,03-Aug-15,1705,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,54,Car
2831632,431305,428461,2,03-Aug-15,2041,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,16,M/cycle 50cc and under
2840283,420239,436042,3,04-Aug-15,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Car
2840780,432009,436160,2,04-Aug-15,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,56,Car
2840780,432009,436160,2,04-Aug-15,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,23,Car
2841076,425890,426590,2,04-Aug-15,1707,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Motorcycle over 125cc and up to 500cc
2841122,430861,434357,2,04-Aug-15,1726,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,42,Pedal cycle
2841140,417752,444431,2,04-Aug-15,1735,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,54,Motorcycle over 500cc
2841140,417752,444431,2,04-Aug-15,1735,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,53,Motorcycle over 500cc
2841249,435991,428230,2,04-Aug-15,1800,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Motorcycle over 500cc
