Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
16F1497,437306,443650,3,15-Jun-14,1831,C,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,28,Car
16F1497,437306,443650,3,15-Jun-14,1831,C,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,20,Car
16F1497,437306,443650,3,15-Jun-14,1831,C,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,21,Car
16F1497,437306,443650,3,15-Jun-14,1831,C,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,21,Car
16F1497,437306,443650,3,15-Jun-14,1831,C,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,21,Car
16G0061,438501,436386,1,16-Jun-14,105,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,23,Car
16G0061,438501,436386,1,16-Jun-14,105,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,30,Car
16G1167,421306,435630,2,16-Jun-14,1643,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,42,Other Vehicle 
16G1296,429739,425638,2,22-Jun-14,815,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Pedal cycle
16G1305,424676,434985,2,16-Jun-14,1743,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,8,Pedal cycle
16G1460,425189,426029,2,16-Jun-14,1905,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,45,Pedal cycle
16H0305,434902,435104,1,17-Jun-14,850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,8,Car
16H0305,434902,435104,1,17-Jun-14,850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,5,Car
16H1029,421715,440990,2,17-Jun-14,1535,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,49,Pedal cycle
16H1573,426862,441321,2,17-Jun-14,1915,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,40,Pedal cycle
16H1777,420095,433546,2,17-Jun-14,1920,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,33,Car
16I0100,414746,442831,2,18-Jun-14,201,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,1,Driver,Slight,Male,38,Car
16I0229,428779,433291,2,18-Jun-14,710,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,27,Pedal cycle
16I0543,431870,435014,2,18-Jun-14,1120,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,30,Car
16I0598,432306,434548,3,18-Jun-14,1140,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,1,Driver,Slight,Male,26,Car
16I1036,429667,434906,2,18-Jun-14,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,37,Pedal cycle
16I1500,429918,427974,2,18-Jun-14,1850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,37,Motorcycle over 500cc
16I1507,429893,436615,1,06-Jun-14,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,13,Car
16I1528,430556,431179,1,18-Jun-14,2000,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Male,23,Car
16I1528,430556,431179,1,18-Jun-14,2000,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,26,Car
16J0341,443470,438447,4,19-Jun-14,830,A(M),Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,41,Car
16J0341,443470,438447,4,19-Jun-14,830,A(M),Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,24,Car
16J0383,428199,435292,2,19-Jun-14,900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,24,Pedal cycle
16J0483,431171,433649,2,19-Jun-14,1015,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,23,Pedal cycle
16J0597,424347,438785,2,19-Jun-14,1120,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,59,Car
16J0597,424347,438785,2,19-Jun-14,1120,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,23,Car
16J0926,428506,431667,2,19-Jun-14,1425,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,24,Car
16J0926,428506,431667,2,19-Jun-14,1425,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,22,Car
16J1117,431639,437404,2,19-Jun-14,1559,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,15,Pedal cycle
16J1356,430854,435446,2,19-Jun-14,1735,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,22,Pedal cycle
16J1367,427833,430807,2,19-Jun-14,1740,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Pedal cycle
16J1648,421742,440783,2,19-Jun-14,2000,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,19,Motorcycle over 50cc and up to 125cc
16K0365,423844,434273,2,20-Jun-14,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,38,Car
16K0365,423844,434273,2,20-Jun-14,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,4,Car
16K0365,423844,434273,2,20-Jun-14,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,64,Car
16K1126,426590,428707,2,20-Jun-14,1540,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,16,M/cycle 50cc and under
16K1381,431343,435059,2,20-Jun-14,1735,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,60,Pedal cycle
16K1402,439322,432428,2,20-Jun-14,1735,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,32,Pedal cycle
16K1653,429804,433477,1,20-Jun-14,1730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,54,Taxi/Private hire car
16K1970,423622,435523,1,20-Jun-14,2210,Unclassified,Wet / Damp,Darkness: street lights present but unlit,Fine without high winds,1,Driver,Serious,Male,29,Motorcycle over 50cc and up to 125cc
16L0376,431447,431585,2,21-Jun-14,640,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,56,Car
16L0376,431447,431585,2,21-Jun-14,640,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,37,Car
16L0376,431447,431585,2,21-Jun-14,640,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,44,Car
16L0376,431447,431585,2,21-Jun-14,640,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,19,Car
16L0776,426101,428271,1,21-Jun-14,1235,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,35,Mobility Scooter
16L1103,428775,433800,1,21-Jun-14,1534,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,26,Car
16L1103,428775,433800,1,21-Jun-14,1534,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,26,Car
16L1202,444964,432021,1,21-Jun-14,2050,A(M),Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,26,Car
16L1202,444964,432021,1,21-Jun-14,2050,A(M),Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,26,Car
16L1760,434344,428716,3,21-Jun-14,2106,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,25,Car
16M0522,421464,442068,1,22-Jun-14,926,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,46,Motorcycle over 125cc and up to 500cc
16M0684,428920,444175,1,22-Jun-14,1120,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,48,Pedal cycle
16N0335,422945,443102,2,23-Jun-14,850,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,29,Car
16N0335,422945,443102,2,23-Jun-14,850,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,50,Car
16N0538,425641,434241,2,23-Jun-14,1045,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,32,Car
16N1001,426453,431721,2,23-Jun-14,1500,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,23,Car
16N1103,433032,436091,1,23-Jun-14,1555,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,79,Car
16N1435,422711,433540,2,23-Jun-14,1829,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,33,Car
16O0806,430403,433667,1,24-Jun-14,1315,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,20,Car
16O0983,420642,434367,1,24-Jun-14,1452,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,13,Car
16O1003,430743,438149,1,24-Jun-14,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,17,Goods vehicle 3.5 tonnes mgw and under
16O1348,428198,435026,2,24-Jun-14,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,26,Car
16O1406,427742,436438,2,24-Jun-14,1827,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,40,Pedal cycle
16O1544,429107,436250,2,24-Jun-14,1544,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,40,Car
16P0315,431068,430340,2,24-Jun-14,1810,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,1,Driver,Serious,Male,37,Pedal cycle
16P0639,428139,431163,3,25-Jun-14,1230,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,5,Car
16P0639,428139,431163,3,25-Jun-14,1230,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,48,Car
16P0761,425538,434165,1,25-Jun-14,1210,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,90,Bus or coach (17 or more passenger seats)
16P1262,443311,436325,2,25-Jun-14,1710,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,29,Pedal cycle
16P1547,431960,430731,2,25-Jun-14,1735,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Pedal cycle
16P1567,430032,433375,1,25-Jun-14,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,22,Bus or coach (17 or more passenger seats)
16P1888,435730,436943,2,25-Jun-14,2245,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,15,Car
16Q0306,424406,427816,2,26-Jun-14,835,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,57,Car
16Q0336,427718,434713,2,23-Jun-14,1700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,31,Motorcycle over 50cc and up to 125cc
16Q0597,426523,433392,1,26-Jun-14,1140,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,81,Goods vehicle 3.5 tonnes mgw and under
16Q0630,422954,438036,1,26-Jun-14,1206,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,62,Car
16Q0922,422047,434278,2,26-Jun-14,1415,B,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,72,Bus or coach (17 or more passenger seats)
16Q0922,422047,434278,2,26-Jun-14,1415,B,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,68,Bus or coach (17 or more passenger seats)
16Q1758,422420,433529,1,26-Jun-14,2140,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,66,Car
16R0181,420015,435473,1,27-Jun-14,540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,50,Other Vehicle 
16R0235,424848,427545,2,27-Jun-14,743,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,35,Car
16R0391,433346,432199,2,27-Jun-14,1000,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,43,Car
16R0436,425420,433192,2,27-Jun-14,1015,B,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,77,Car
16R0739,436283,434708,2,27-Jun-14,1325,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,25,Car
16R0739,436283,434708,2,27-Jun-14,1325,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,37,Car
16S0004,431040,431373,1,28-Jun-14,1,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,3,Pedestrian,Slight,Male,23,Taxi/Private hire car
16S0270,427549,433883,1,28-Jun-14,310,Unclassified,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,2,Passenger,Slight,Female,18,Taxi/Private hire car
16S0270,427549,433883,1,28-Jun-14,310,Unclassified,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,2,Passenger,Slight,Female,19,Taxi/Private hire car
16S0270,427549,433883,1,28-Jun-14,310,Unclassified,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,2,Passenger,Slight,Female,19,Taxi/Private hire car
16S0273,430788,433328,1,28-Jun-14,405,A,Wet / Damp,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,26,Car
16S0330,431819,430458,1,28-Jun-14,609,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,51,Car
16S0368,428996,429625,2,28-Jun-14,728,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,43,Pedal cycle
16S0368,428996,429625,2,28-Jun-14,728,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,65,Car
16S0543,439764,433146,1,28-Jun-14,1025,A,Wet / Damp,Daylight: street lights present,Raining without high winds,3,Pedestrian,Serious,Female,76,Car
16S0581,430073,433865,1,28-Jun-14,1031,Unclassified,Dry,Daylight: street lights present,Unknown,2,Passenger,Slight,Female,74,Bus or coach (17 or more passenger seats)
16S0738,430550,431065,2,27-Jun-14,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,39,Goods vehicle 3.5 tonnes mgw and under
16S0738,430550,431065,2,27-Jun-14,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,34,Goods vehicle 3.5 tonnes mgw and under
16S0911,434989,436890,1,28-Jun-14,1200,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,2,Passenger,Serious,Female,64,Bus or coach (17 or more passenger seats)
16S1054,436725,435052,2,28-Jun-14,1715,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,22,M/cycle 50cc and under
16T0270,432486,438750,2,29-Jun-14,315,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,20,Car
16T0270,432486,438750,2,29-Jun-14,315,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,18,Car
16T0280,431574,435204,5,29-Jun-14,1,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,71,Car
16T0960,443104,433190,1,29-Jun-14,1524,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,44,Car
16T1231,430460,428413,2,29-Jun-14,1711,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,13,Pedal cycle
16T1261,429117,434196,2,29-Jun-14,1820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,34,Car
16T1261,429117,434196,2,29-Jun-14,1820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,32,Pedal cycle
16T1425,429809,431159,1,29-Jun-14,1950,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,8,Car
16T1665,434861,436504,1,29-Jun-14,2242,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Female,35,Car
16U0349,434993,425885,4,30-Jun-14,845,Motorway,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,29,Car
16U0382,425661,434919,2,30-Jun-14,908,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,11,Car
16U0749,440425,448058,2,30-Jun-14,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,84,Car
16U0766,430414,433725,1,30-Jun-14,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,33,Bus or coach (17 or more passenger seats)
16U0812,432071,431120,2,30-Jun-14,1520,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Pedal cycle
16U0838,431024,433517,1,30-Jun-14,1345,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,48,Bus or coach (17 or more passenger seats)
16U1629,430093,431305,1,30-Jun-14,1949,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,52,Car
16U1674,436438,427247,1,30-Jun-14,1730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,8,Car
1710386,424924,430924,2,01-Jul-14,810,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,32,Car
1710459,430375,433496,1,01-Jul-14,1010,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,75,Bus or coach (17 or more passenger seats)
1710740,436161,427825,2,01-Jul-14,1250,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,23,Car
1710835,428460,435707,2,01-Jul-14,1340,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,26,Pedal cycle
1711647,435362,439519,2,01-Jul-14,2010,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Female,67,Car
1720309,428987,426335,2,02-Jul-14,850,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,43,Car
1720309,428987,426335,2,02-Jul-14,850,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,11,Car
1720309,428987,426335,2,02-Jul-14,850,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,31,Car
1720356,430340,433391,2,02-Jul-14,916,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,50,Pedal cycle
1720475,430837,434002,2,02-Jul-14,750,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,29,Car
1720856,427168,435276,2,02-Jul-14,1342,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,31,Car
1721208,430202,431991,2,27-Jun-14,845,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Car
1721208,430202,431991,2,27-Jun-14,845,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,32,Car
1721208,430202,431991,2,27-Jun-14,845,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,5,Car
1721377,425158,437877,2,02-Jul-14,1650,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,57,Pedal cycle
1730421,428446,427378,2,03-Jul-14,945,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,68,Car
1730421,428446,427378,2,03-Jul-14,945,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,69,Car
1730421,428446,427378,2,03-Jul-14,945,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,34,Car
1730978,432501,435437,2,03-Jul-14,1506,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,3,Car
1731095,421138,434185,2,03-Jul-14,1200,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,36,Car
1731550,424017,437717,2,03-Jul-14,1918,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,38,Car
1731550,424017,437717,2,03-Jul-14,1918,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,28,Car
1731550,424017,437717,2,03-Jul-14,1918,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,15,Car
1731556,432734,436328,1,03-Jul-14,1906,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,11,Taxi/Private hire car
1731613,421365,440476,1,03-Jul-14,1930,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,71,Car
1731699,432258,435097,1,03-Jul-14,2015,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,47,Car
1731786,425436,433021,2,03-Jul-14,2100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,47,Motorcycle over 50cc and up to 125cc
1740262,424626,433638,2,04-Jul-14,728,B,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,29,Pedal cycle
1741410,428268,429613,2,04-Jul-14,1745,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,27,Car
1741601,429954,433798,1,04-Jul-14,1900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,62,Bus or coach (17 or more passenger seats)
1750411,430875,434352,1,05-Jul-14,1510,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,30,Car
1760045,428769,435125,1,06-Jul-14,10,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,21,Car
1760286,427875,434080,1,07-Jul-14,212,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Serious,Female,21,Car
1761997,439518,430586,2,06-Jul-14,2130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,21,Car
1761997,439518,430586,2,06-Jul-14,2130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,22,Car
1761997,439518,430586,2,06-Jul-14,2130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,17,Car
1761997,439518,430586,2,06-Jul-14,2130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,17,Car
1762056,426381,438060,2,06-Jul-14,2200,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,17,Car
1770289,434707,425873,4,07-Jul-14,735,Motorway,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,26,Car
1770314,420998,434358,1,07-Jul-14,750,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,20,Car
1770429,429498,430238,2,07-Jul-14,938,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,41,Car
1770560,427452,431884,1,07-Jul-14,910,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,42,Bus or coach (17 or more passenger seats)
1770753,424983,430976,2,09-Jul-14,1245,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,42,Motorcycle over 125cc and up to 500cc
1770761,435017,433439,1,07-Jul-14,1250,B,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,71,Car
1771572,421935,429265,2,07-Jul-14,1835,B,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,21,Car
1780231,432853,434566,1,08-Jul-14,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,37,Car
1780864,443368,438822,4,08-Jul-14,1510,A(M),Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,57,Car
1790227,429607,425742,2,09-Jul-14,750,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,58,Car
1790422,415412,442257,2,05-Jul-14,1415,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,34,Car
1790422,415412,442257,2,05-Jul-14,1415,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,31,Car
1790495,431982,435786,2,09-Jul-14,1110,B,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,32,Taxi/Private hire car
1791112,420513,441136,2,09-Jul-14,1625,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,50,Motorcycle over 500cc
1791172,422139,433991,3,09-Jul-14,1659,B,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,29,Motorcycle over 125cc and up to 500cc
1791277,431171,440732,2,09-Jul-14,1740,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,19,Car
1791507,433447,434815,2,09-Jul-14,1925,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,30,Car
1791999,432096,439462,1,09-Jul-14,2330,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,24,Car
1791999,432096,439462,1,09-Jul-14,2330,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,18,Car
1791999,432096,439462,1,09-Jul-14,2330,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,17,Car
1792009,427980,431961,1,09-Jul-14,2345,A,Dry,Darkness: no street lighting,Fine without high winds,1,Driver,Slight,Male,26,Car
1792011,434190,433616,1,09-Jul-14,2340,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,31,Car
1792011,434190,433616,1,09-Jul-14,2340,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,30,Car
17A0808,435991,428238,2,09-Jul-14,1515,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,21,Car
17A0970,423325,443467,2,10-Jul-14,1515,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,55,Motorcycle over 500cc
17A0992,429990,432674,1,10-Jul-14,1532,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,28,Motorcycle over 50cc and up to 125cc
17B0790,430097,433830,1,08-Jul-14,1335,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,21,Taxi/Private hire car
17B1230,443221,439684,2,11-Jul-14,1724,A(M),Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,47,Car
17B1249,427489,431323,2,11-Jul-14,1731,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Female,25,Car
17B1249,427489,431323,2,11-Jul-14,1731,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,19,Car
17B1520,434908,436833,3,11-Jul-14,1930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,31,Car
17B1651,427607,433942,1,11-Jul-14,2033,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,19,Car
17C0849,430004,430947,1,12-Jul-14,1050,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,41,Bus or coach (17 or more passenger seats)
